iter	Passed	Remaining
745	18491	6295
746	18511	6269
747	18535	6244
748	18561	6220
749	18583	6194
750	18609	6170
751	18631	6144
752	18652	6118
753	18671	6091
754	18692	6065
755	18716	6040
756	18740	6015
757	18762	5990
758	18784	5964
759	18807	5939
760	18829	5913
761	18851	5887
762	18874	5862
763	18896	5837
764	18919	5811
765	18940	5786
766	18963	5760
767	18984	5734
768	19008	5710
769	19038	5686
770	19070	5664
771	19096	5639
772	19121	5615
773	19142	5589
774	19167	5564
775	19201	5542
776	19230	5519
777	19254	5494
778	19278	5469
779	19303	5444
780	19333	5421
781	19367	5399
782	19394	5374
783	19416	5349
784	19437	5323
785	19458	5297
786	19486	5273
787	19514	5249
788	19541	5225
789	19566	5201
790	19592	5176
791	19617	5151
792	19639	5126
793	19664	5101
794	19688	5076
795	19711	5051
796	19734	5026
797	19757	5001
798	19779	4975
799	19806	4951
800	19839	4928
801	19932	4920
802	19970	4899
803	20015	4879
804	20057	4858
805	20081	4833
806	20110	4809
807	20150	4788
808	20178	4764
809	20205	4739
810	20234	4715
811	20261	4691
812	20286	4666
813	20314	4641
814	20341	4617
815	20365	4592
816	20389	4567
817	20414	4542
818	20443	4518
819	20475	4494
820	20500	4469
821	20529	4445
822	20557	4421
823	20581	4396
824	20613	4372
825	20646	4349
826	20677	4325
827	20703	4300
828	20727	4275
829	20748	4249
830	20771	4224
831	20804	4200
832	20835	4177
833	20863	4152
834	20889	4127
835	20915	4103
836	20939	4077
837	20962	4052
838	20985	4027
839	21011	4002
840	21035	3977
841	21063	3952
842	21090	3927
843	21115	3902
844	21137	3877
845	21165	3852
846	21195	3828
847	21224	3804
848	21250	3779
849	21273	3754
850	21296	3728
851	21317	3703
852	21342	3678
853	21369	3653
854	21396	3628
855	21422	3603
856	21445	3578
857	21467	3552
858	21488	3527
859	21510	3501
860	21532	3476
861	21560	3451
862	21597	3428
863	21624	3403
864	21645	3378
865	21667	3352
866	21688	3327
867	21713	3301
868	21742	3277
869	21765	3252
870	21787	3226
871	21814	3202
872	21838	3177
873	21867	3152
874	21892	3127
875	21917	3102
876	21945	3077
877	21970	3052
878	21993	3027
879	22017	3002
880	22043	2977
881	22066	2952
882	22089	2926
883	22110	2901
884	22131	2875
885	22156	2850
886	22182	2825
887	22204	2800
888	22226	2775
